team_id,team_name,fifa_code,confederation,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,avg_goals_for,avg_goals_against,win_rate,points
9,Argentina,ARG,CONMEBOL,103,73,19,11,212,59,153,2.058252427184466,0.5728155339805825,0.7087378640776699,238
73,France,FRA,UEFA,106,71,21,14,230,91,139,2.169811320754717,0.8584905660377359,0.6698113207547169,234
3,Algeria,ALG,CAF,109,73,26,10,235,80,155,2.1559633027522938,0.7339449541284404,0.6697247706422018,245
130,Morocco,MAR,CAF,114,76,26,12,213,61,152,1.868421052631579,0.5350877192982456,0.6666666666666666,254
98,Japan,JPN,AFC,101,66,16,19,241,78,163,2.386138613861386,0.7722772277227723,0.6534653465346535,214
64,England,ENG,UEFA,107,69,20,18,239,71,168,2.2336448598130842,0.6635514018691588,0.6448598130841121,227
90,IR Iran,IRN,AFC,87,56,18,13,180,63,117,2.0689655172413794,0.7241379310344828,0.6436781609195402,186
166,Senegal,SEN,CAF,107,68,24,15,189,75,114,1.766355140186916,0.7009345794392523,0.6355140186915887,228
20,Belgium,BEL,UEFA,101,64,20,17,239,87,152,2.366336633663366,0.8613861386138614,0.6336633663366337,212
178,Spain,ESP,UEFA,103,65,29,9,244,81,163,2.3689320388349513,0.7864077669902912,0.6310679611650486,224
154,Portugal,POR,UEFA,101,63,23,15,234,80,154,2.3168316831683167,0.7920792079207921,0.6237623762376238,212
28,Brazil,BRA,CONMEBOL,100,62,23,15,200,68,132,2.0,0.68,0.62,209
96,Italy,ITA,UEFA,92,56,21,15,183,79,104,1.9891304347826086,0.8586956521739131,0.6086956521739131,189
50,Côte d'Ivoire,CIV,CAF,92,56,18,18,160,68,92,1.7391304347826086,0.7391304347826086,0.6086956521739131,186
135,Netherlands,NED,UEFA,96,57,23,16,225,95,130,2.34375,0.9895833333333334,0.59375,194
159,Russia,RUS,UEFA,72,41,17,14,150,65,85,2.0833333333333335,0.9027777777777778,0.5694444444444444,140
62,Egypt,EGY,CAF,101,57,28,16,158,71,87,1.5643564356435644,0.7029702970297029,0.5643564356435643,199
12,Australia,AUS,AFC,77,43,14,20,138,58,80,1.7922077922077921,0.7532467532467533,0.5584415584415584,143
119,Malaysia,MAS,AFC,86,48,13,25,164,102,62,1.9069767441860466,1.186046511627907,0.5581395348837209,157
103,Korea Republic,KOR,AFC,99,55,25,19,177,88,89,1.7878787878787878,0.8888888888888888,0.5555555555555556,190
13,Austria,AUT,UEFA,90,50,15,25,162,93,69,1.8,1.0333333333333334,0.5555555555555556,165
125,Mexico,MEX,CONCACAF,134,74,29,31,211,124,87,1.5746268656716418,0.9253731343283582,0.5522388059701493,251
144,Norway,NOR,UEFA,82,45,19,18,172,83,89,2.097560975609756,1.0121951219512195,0.5487804878048781,154
57,Denmark,DEN,UEFA,95,52,24,19,181,81,100,1.9052631578947368,0.8526315789473684,0.5473684210526316,180
202,USA,USA,CONCACAF,122,66,22,34,229,118,111,1.8770491803278688,0.9672131147540983,0.5409836065573771,220
76,Germany,GER,UEFA,98,53,23,22,224,118,106,2.2857142857142856,1.2040816326530612,0.5408163265306123,182
37,Canada,CAN,CONCACAF,91,48,21,22,184,81,103,2.021978021978022,0.8901098901098901,0.5274725274725275,165
44,Colombia,COL,CONMEBOL,97,51,29,17,152,81,71,1.5670103092783505,0.8350515463917526,0.5257731958762887,182
191,Thailand,THA,AFC,92,48,23,21,171,98,73,1.858695652173913,1.065217391304348,0.5217391304347826,167
198,Türkiye,TUR,UEFA,94,49,20,25,169,120,49,1.797872340425532,1.2765957446808511,0.5212765957446809,167
137,New Caledonia,NCL,OFC,29,15,3,11,57,34,23,1.9655172413793103,1.1724137931034482,0.5172413793103449,48
51,Croatia,CRO,UEFA,103,53,25,25,179,121,58,1.7378640776699028,1.174757281553398,0.5145631067961165,184
207,Uzbekistan,UZB,AFC,86,44,18,24,138,81,57,1.6046511627906976,0.9418604651162791,0.5116279069767442,150
197,Tunisia,TUN,CAF,112,57,25,30,155,96,59,1.3839285714285714,0.8571428571428571,0.5089285714285714,196
210,Vietnam,VIE,AFC,83,42,15,26,131,86,45,1.5783132530120483,1.036144578313253,0.5060240963855421,141
185,Sweden,SWE,UEFA,99,50,14,35,164,126,38,1.6565656565656566,1.2727272727272727,0.5050505050505051,164
121,Mali,MLI,CAF,78,39,24,15,117,48,69,1.5,0.6153846153846154,0.5,141
141,Nigeria,NGA,CAF,100,50,29,21,159,94,65,1.59,0.94,0.5,179
85,Guyana,GUY,CONCACAF,52,25,5,22,103,89,14,1.9807692307692308,1.7115384615384615,0.4807692307692308,80
55,Czechia,CZE,UEFA,91,43,18,30,151,115,36,1.6593406593406594,1.2637362637362637,0.4725274725274725,147
16,Bahrain,BHR,AFC,104,49,19,36,148,116,32,1.4230769230769231,1.1153846153846154,0.47115384615384615,166
79,Greece,GRE,UEFA,81,38,17,26,112,77,35,1.382716049382716,0.9506172839506173,0.4691358024691358,131
89,Hungary,HUN,UEFA,86,40,20,26,118,102,16,1.372093023255814,1.186046511627907,0.46511627906976744,140
86,Haiti,HAI,CONCACAF,67,31,12,24,127,88,39,1.8955223880597014,1.3134328358208955,0.4626865671641791,105
32,Burkina Faso,BFA,CAF,85,39,24,22,122,85,37,1.4352941176470588,1.0,0.4588235294117647,141
188,Tahiti,TAH,OFC,24,11,3,10,42,32,10,1.75,1.3333333333333333,0.4583333333333333,36
94,Iraq,IRQ,AFC,107,49,33,25,133,105,28,1.2429906542056075,0.9813084112149533,0.45794392523364486,180
167,Serbia,SRB,UEFA,90,41,25,24,139,109,30,1.5444444444444445,1.211111111111111,0.45555555555555555,148
156,Qatar,QAT,AFC,121,55,26,40,188,158,30,1.5537190082644627,1.3057851239669422,0.45454545454545453,191
155,Puerto Rico,PUR,CONCACAF,42,19,6,17,83,63,20,1.9761904761904763,1.5,0.4523809523809524,63
165,Scotland,SCO,UEFA,89,40,16,33,130,119,11,1.4606741573033708,1.3370786516853932,0.449438202247191,136
204,Ukraine,UKR,UEFA,87,39,24,24,125,114,11,1.4367816091954022,1.3103448275862069,0.4482758620689655,141
153,Poland,POL,UEFA,92,41,21,30,146,113,33,1.5869565217391304,1.2282608695652173,0.44565217391304346,144
176,South Africa,RSA,CAF,99,44,38,17,131,80,51,1.3232323232323233,0.8080808080808081,0.4444444444444444,170
174,Solomon Islands,SOL,OFC,43,19,5,19,85,75,10,1.9767441860465116,1.744186046511628,0.4418604651162791,62
